LIMES;Enavi;UnitLIMES;UnitEnavi;ConvFactor
Capacity|Electricity|Storage;Capacity|Electricity|Storage;GW;GW;1
Capacity|Electricity|Transmission Grid;Capacity|Electricity|Transmission Grid;GW;GW;1
Capacity|Electricity|Wind;Capacity|Electricity|Wind;GW;GW;1
Capacity|Electricity|Wind|Offshore;Capacity|Electricity|Wind|Offshore;GW;GW;1
Capacity|Electricity|Wind|Onshore;Capacity|Electricity|Wind|Onshore;GW;GW;1
Capacity|Electricity|Reserve Plants;Capacity|Electricity|Reserve Plants;GW;GW;1
Capacity|Electricity|Reserve Plants|Hard Coal;Capacity|Electricity|Reserve Plants|Hard Coal;GW;GW;1
Capacity|Electricity|Reserve Plants|Lignite;Capacity|Electricity|Reserve Plants|Lignite;GW;GW;1
Capacity|Electricity|Reserve Plants|Coal;Capacity|Electricity|Reserve Plants|Coal;GW;GW;1
Capacity|Electricity|Reserve Plants|Gas;Capacity|Electricity|Reserve Plants|Gas;GW;GW;1
Capacity|Electricity|Reserve Plants|Gas CC;Capacity|Electricity|Reserve Plants|Gas CC;GW;GW;1
Capacity|Electricity|Reserve Plants|Gas OC;Capacity|Electricity|Reserve Plants|Gas OC;GW;GW;1
Capacity|Electricity|Reserve Plants|Biomass;Capacity|Electricity|Reserve Plants|Biomass;GW;GW;1
Capacity|Electricity|Reserve Plants|Oil;Capacity|Electricity|Reserve Plants|Oil;GW;GW;1
Capacity|Electricity|Coal|w/ CCS;Capacity|Electricity|Coal|w/ CCS;GW;GW;1
Capacity|Electricity|Coal|w/o CCS;Capacity|Electricity|Coal|w/o CCS;GW;GW;1
Capacity|Electricity|Gas|w/ CCS;Capacity|Electricity|Gas|w/ CCS;GW;GW;1
Capacity|Electricity|Gas|w/o CCS;Capacity|Electricity|Gas|w/o CCS;GW;GW;1
Capacity|Electricity|Hard Coal|w/ CCS;Capacity|Electricity|Hard Coal|w/ CCS;GW;GW;1
Capacity|Electricity|Hard Coal|w/o CCS;Capacity|Electricity|Hard Coal|w/o CCS;GW;GW;1
Capacity|Electricity|Lignite|w/ CCS;Capacity|Electricity|Lignite|w/ CCS;GW;GW;1
Capacity|Electricity|Lignite|w/o CCS;Capacity|Electricity|Lignite|w/o CCS;GW;GW;1
Capacity|Electricity|Storage|Pump Hydro;Capacity|Electricity|Storage|Pump Hydro;GW;GW;1
Capacity|Electricity|Storage|Stat Batteries;Capacity|Electricity|Storage|Stat Batteries;GW;GW;1
Capacity|Electricity|Storage|Hydrogen electrolysis [input];Capacity|Electricity|Storage|Hydrogen electrolysis [input];GW;GW;1
Capacity|Electricity|Storage|Intra-day;Capacity|Electricity|Storage|Intra-day;GW;GW;1
Price|Primary Energy|Biomass;Price|Primary Energy|Biomass;Eur2010/GJ;Eur2015/GJ;1
Price|Primary Energy|Hard Coal;Price|Primary Energy|Hard Coal;Eur2010/GJ;Eur2015/GJ;1
Price|Primary Energy|Lignite;Price|Primary Energy|Lignite;Eur2010/GJ;Eur2015/GJ;1
Price|Primary Energy|Gas;Price|Primary Energy|Gas;Eur2010/GJ;Eur2015/GJ;1
Price|Primary Energy|Oil;Price|Primary Energy|Oil;Eur2010/GJ;Eur2015/GJ;1
Price|Secondary Energy|Electricity;Price|Secondary Energy|Electricity;Eur2010/MWh;Eur2015/MWh;1
Price Full|Secondary Energy|Electricity;Price Full|Secondary Energy|Electricity;Eur2010/MWh;Eur2015/MWh;1
Price|Secondary Energy|Heat;Price|Secondary Energy|Heat;Eur2010/MWh;Eur2015/GJ;1
Price Full|Secondary Energy|Heat;Price Full|Secondary Energy|Heat;Eur2010/MWh;Eur2015/MWh;1
Price|Secondary Energy|Heat|EU ETS-covered;Price|Secondary Energy|Heat|EU ETS-covered;Eur2010/MWh;Eur2015/MWh;1
Price Full|Secondary Energy|Heat|EU ETS-covered;Price Full|Secondary Energy|Heat|EU ETS-covered;Eur2010/MWh;Eur2015/MWh;1
Price|Secondary Energy|Heat|Buildings|EU ETS-covered;Price|Secondary Energy|Heat|Buildings|EU ETS-covered;Eur2010/MWh;Eur2015/MWh;1
Price Full|Secondary Energy|Heat|Buildings|EU ETS-covered;Price Full|Secondary Energy|Heat|Buildings|EU ETS-covered;Eur2010/MWh;Eur2015/MWh;1
Price|Secondary Energy|Heat|District heating;Price|Secondary Energy|Heat|District heating;Eur2010/MWh;Eur2015/MWh;1
Price Full|Secondary Energy|Heat|District heating;Price Full|Secondary Energy|Heat|District heating;Eur2010/MWh;Eur2015/MWh;1
Price|Secondary Energy|Heat|Decentral|Electricity;Price|Secondary Energy|Heat|Decentral|Electricity;Eur2010/MWh;Eur2015/MWh;1
Price Full|Secondary Energy|Heat|Decentral|Electricity;Price Full|Secondary Energy|Heat|Decentral|Electricity;Eur2010/MWh;Eur2015/MWh;1
Price|Carbon|Net|Electricity;Price|Carbon|Net|Electricity;Eur2010/t CO2;Eur2015/t CO2;1
Price|Carbon|National Climate Target|Power Sector;Price|Carbon|National Climate Target|Power Sector;Eur2010/t CO2;Eur2015/t CO2;1
Price|Carbon|ETS;Price|Carbon|ETS;Eur2010/t CO2;Eur2015/t CO2;1
Price|Carbon|Net|Industry;Price|Carbon|Net|Industry;Eur2010/t CO2;Eur2015/t CO2;1
Price|Carbon|National Climate Target|Industry;Price|Carbon|National Climate Target|Industry;Eur2010/t CO2;Eur2015/t CO2;1
Final Energy|Electricity;Final Energy|Electricity;TWh/yr;TWh/yr;1
Final Energy|Electricity|Losses;Final Energy|Electricity|Losses;TWh/yr;TWh/yr;1
Gross Energy|Electricity;Gross Energy|Electricity;TWh/yr;TWh/yr;1
Gross Energy|Electricity|w/ Storage;Gross Energy|Electricity|w/ Storage;TWh/yr;TWh/yr;1
Gross Energy|Electricity|w/o electric heating;Gross Energy|Electricity|w/o electric heating;TWh/yr;TWh/yr;1
Primary Energy|Electricity;Primary Energy|Electricity;TWh/yr;PJ/yr;3.6
Primary Energy|Exhaustible resources|Electricity;Primary Energy|Exhaustible resources|Electricity;TWh/yr;PJ/yr;3.6
Primary Energy|Biomass|Electricity;Primary Energy|Biomass|Electricity;TWh/yr;PJ/yr;3.6
Primary Energy|Coal|Electricity;Primary Energy|Coal|Electricity;TWh/yr;PJ/yr;3.6
Primary Energy|Fossil|Electricity;Primary Energy|Fossil|Electricity;TWh/yr;PJ/yr;3.6
Primary Energy|Gas|Electricity;Primary Energy|Gas|Electricity;TWh/yr;PJ/yr;3.6
Primary Energy|Nuclear|Electricity;Primary Energy|Nuclear|Electricity;TWh/yr;PJ/yr;3.6
Primary Energy|Oil|Electricity;Primary Energy|Oil|Electricity;TWh/yr;PJ/yr;3.6
Primary Energy|Other|Electricity;Primary Energy|Other|Electricity;TWh/yr;PJ/yr;3.6
Primary Energy|Waste|Electricity  ;Primary Energy|Waste|Electricity  ;TWh/yr;PJ/yr;3.6
Primary Energy|Lignite|Electricity;Primary Energy|Lignite|Electricity;TWh/yr;PJ/yr;3.6
Primary Energy|Hard Coal|Electricity;Primary Energy|Hard Coal|Electricity;TWh/yr;PJ/yr;3.6
Secondary Energy|Electricity;Secondary Energy|Electricity;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|w/ storage;Secondary Energy|Electricity|w/ storage;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Biomass;Secondary Energy|Electricity|Biomass;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Coal;Secondary Energy|Electricity|Coal;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Curtailment;Secondary Energy|Electricity|Curtailment;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Gas CC;Secondary Energy|Electricity|Gas CC;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Gas OC;Secondary Energy|Electricity|Gas OC;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Gas;Secondary Energy|Electricity|Gas;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Hydro;Secondary Energy|Electricity|Hydro;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Hard Coal;Secondary Energy|Electricity|Hard Coal;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Lignite;Secondary Energy|Electricity|Lignite;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Net Exports;Secondary Energy|Electricity|Net Exports;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Nuclear;Secondary Energy|Electricity|Nuclear;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Oil;Secondary Energy|Electricity|Oil;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Other;Secondary Energy|Electricity|Other;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Other Fossil;Secondary Energy|Electricity|Other Fossil;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Solar;Secondary Energy|Electricity|Solar;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Solar|CSP;Secondary Energy|Electricity|Solar|CSP;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Solar|PV;Secondary Energy|Electricity|Solar|PV;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Wind;Secondary Energy|Electricity|Wind;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Wind|Offshore;Secondary Energy|Electricity|Wind|Offshore;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Wind|Onshore;Secondary Energy|Electricity|Wind|Onshore;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Storage Losses;Secondary Energy|Electricity|Storage Losses;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Hydrogen;Secondary Energy|Electricity|Hydrogen;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Hydrogen|w/ storage;Secondary Energy|Electricity|Hydrogen|w/ storage;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Hydrogen FC;Secondary Energy|Electricity|Hydrogen FC;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Hydrogen OC;Secondary Energy|Electricity|Hydrogen OC;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Hydrogen CC;Secondary Energy|Electricity|Hydrogen CC;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Coal|w/ CCS;Secondary Energy|Electricity|Coal|w/ CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Coal|w/o CCS;Secondary Energy|Electricity|Coal|w/o CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Gas|w/ CCS;Secondary Energy|Electricity|Gas|w/ CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Gas|w/o CCS;Secondary Energy|Electricity|Gas|w/o CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Hard Coal|w/ CCS;Secondary Energy|Electricity|Hard Coal|w/ CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Hard Coal|w/o CCS;Secondary Energy|Electricity|Hard Coal|w/o CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Lignite|w/ CCS;Secondary Energy|Electricity|Lignite|w/ CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Lignite|w/o CCS;Secondary Energy|Electricity|Lignite|w/o CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Biomass|w/o CCS;Secondary Energy|Electricity|Biomass|w/o CCS;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Biomass|w/ CCS;Secondary Energy|Electricity|Biomass|w/ CCS;TWh/yr;TWh/yr;1
Total Energy System Cost|Power Sector|w/o trade and w/o CO2 costs;Total Energy System Cost|Power Sector|w/o trade and w/o CO2 costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|w/ trade and w/o CO2 costs;Total Energy System Cost|Power Sector|w/ trade and w/o CO2 costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|w/ trade and w/ CO2 costs;Total Energy System Cost|Power Sector|w/ trade and w/ CO2 costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|w/o trade and w/ CO2 costs;Total Energy System Cost|Power Sector|w/o trade and w/ CO2 costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|Fuel Costs;Total Energy System Cost|Power Sector|Fuel Costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|Investment Costs;Total Energy System Cost|Power Sector|Investment Costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|Generation Investment Costs;Total Energy System Cost|Power Sector|Generation Investment Costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|Generation Investment Costs|Renewable;Total Energy System Cost|Power Sector|Generation Investment Costs|Renewable;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|Transmission Investment Costs;Total Energy System Cost|Power Sector|Transmission Investment Costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|O&M Costs;Total Energy System Cost|Power Sector|O&M Costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|CO2 costs;Total Energy System Cost|Power Sector|CO2 costs;billion eur2010/yr;billion Eur2015/yr;1
Total Energy System Cost|Power Sector|Trade Costs;Total Energy System Cost|Power Sector|Trade Costs;billion eur2010/yr;billion Eur2015/yr;1
Capacity Additions|Electricity|Biomass;Capacity Additions|Electricity|Biomass;GW/yr;GW/yr;1
Capacity Additions|Electricity|Coal;Capacity Additions|Electricity|Coal;GW/yr;GW/yr;1
Capacity Additions|Electricity|Gas;Capacity Additions|Electricity|Gas;GW/yr;GW/yr;1
Capacity Additions|Electricity|Gas CC;Capacity Additions|Electricity|Gas CC;GW/yr;GW/yr;1
Capacity Additions|Electricity|Gas OC;Capacity Additions|Electricity|Gas OC;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hydro;Capacity Additions|Electricity|Hydro;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hydrogen;Capacity Additions|Electricity|Hydrogen;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hydrogen FC;Capacity Additions|Electricity|Hydrogen FC;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hydrogen OC;Capacity Additions|Electricity|Hydrogen OC;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hydrogen CC;Capacity Additions|Electricity|Hydrogen CC;GW/yr;GW/yr;1
Capacity Additions|Electricity|Nuclear;Capacity Additions|Electricity|Nuclear;GW/yr;GW/yr;1
Capacity Additions|Electricity|Oil;Capacity Additions|Electricity|Oil;GW/yr;GW/yr;1
Capacity Additions|Electricity|Other;Capacity Additions|Electricity|Other;GW/yr;GW/yr;1
Capacity Additions|Electricity|Solar;Capacity Additions|Electricity|Solar;GW/yr;GW/yr;1
Capacity Additions|Electricity|Solar|CSP;Capacity Additions|Electricity|Solar|CSP;GW/yr;GW/yr;1
Capacity Additions|Electricity|Solar|PV;Capacity Additions|Electricity|Solar|PV;GW/yr;GW/yr;1
Capacity Additions|Electricity|Storage;Capacity Additions|Electricity|Storage;GW/yr;GW/yr;1
Capacity Additions|Electricity|Wind;Capacity Additions|Electricity|Wind;GW/yr;GW/yr;1
Capacity Additions|Electricity|Wind|Offshore;Capacity Additions|Electricity|Wind|Offshore;GW/yr;GW/yr;1
Capacity Additions|Electricity|Wind|Onshore;Capacity Additions|Electricity|Wind|Onshore;GW/yr;GW/yr;1
Capacity Additions|Electricity|Storage|Pump Hydro;Capacity Additions|Electricity|Storage|Pump Hydro;GW/yr;GW/yr;1
Capacity Additions|Electricity|Storage|Stat Batteries;Capacity Additions|Electricity|Storage|Stat Batteries;GW/yr;GW/yr;1
Capacity Additions|Electricity;Capacity Additions|Electricity;GW/yr;GW/yr;1
Capacity Additions|Electricity|Lignite;Capacity Additions|Electricity|Lignite;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hard Coal;Capacity Additions|Electricity|Hard Coal;GW/yr;GW/yr;1
Capacity Additions|Electricity|Lignite|w/ CCS;Capacity Additions|Electricity|Lignite|w/ CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Lignite|w/o CCS;Capacity Additions|Electricity|Lignite|w/o CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hard Coal|w/ CCS;Capacity Additions|Electricity|Hard Coal|w/ CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Hard Coal|w/o CCS;Capacity Additions|Electricity|Hard Coal|w/o CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Coal|w/ CCS;Capacity Additions|Electricity|Coal|w/ CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Coal|w/o CCS;Capacity Additions|Electricity|Coal|w/o CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Gas|w/ CCS;Capacity Additions|Electricity|Gas|w/ CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Gas|w/o CCS;Capacity Additions|Electricity|Gas|w/o CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Storage|Hydrogen electrolysis [input];Capacity Additions|Electricity|Storage|Hydrogen electrolysis [input];GW/yr;GW/yr;1
Capacity Additions|Electricity|Storage|Intra-day;Capacity Additions|Electricity|Storage|Intra-day;GW/yr;GW/yr;1
Emissions withdrawn ETS|CO2|Energy|Supply|Electricity;Emissions withdrawn ETS|CO2|Energy|Supply|Electricity;Mt CO2/yr;Mt CO2/yr;1
Capacity Additions|Electricity|Other Fossil;Capacity Additions|Electricity|Other Fossil;GW/yr;GW/yr;1
Capacity Additions|Electricity|Biomass|w/ CCS;Capacity Additions|Electricity|Biomass|w/ CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Biomass|w/o CCS;Capacity Additions|Electricity|Biomass|w/o CCS;GW/yr;GW/yr;1
Capacity Additions|Electricity|Variable renewable;Capacity Additions|Electricity|Variable renewable;GW/yr;GW/yr;1
Capacity Additions|Electricity|Non-variable renewable;Capacity Additions|Electricity|Non-variable renewable;GW/yr;GW/yr;1
Capacity Additions|Electricity|Renewable;Capacity Additions|Electricity|Renewable;GW/yr;GW/yr;1
Capacity Additions|Electricity|Fossil;Capacity Additions|Electricity|Fossil;GW/yr;GW/yr;1
Capacity Additions|Electricity|Non-renewable;Capacity Additions|Electricity|Non-renewable;GW/yr;GW/yr;1
Secondary Energy|Electricity|Fossil;Secondary Energy|Electricity|Fossil;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Storage;Secondary Energy|Electricity|Storage;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Storage|Pump Hydro;Secondary Energy|Electricity|Storage|Pump Hydro;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Storage|Stat Batteries;Secondary Energy|Electricity|Storage|Stat Batteries;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Storage|Hydrogen electrolysis;Secondary Energy|Electricity|Storage|Hydrogen electrolysis;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Variable renewable;Secondary Energy|Electricity|Variable renewable;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Non-variable renewable;Secondary Energy|Electricity|Non-variable renewable;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Renewable;Secondary Energy|Electricity|Renewable;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Non-renewable;Secondary Energy|Electricity|Non-renewable;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|w/o losses;Secondary Energy|Electricity|w/o losses;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Storage Consumption;Secondary Energy|Electricity|Storage Consumption;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Storage Consumption|Pump Hydro;Secondary Energy|Electricity|Storage Consumption|Pump Hydro;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Storage Consumption|Stat Batteries;Secondary Energy|Electricity|Storage Consumption|Stat Batteries;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Storage Consumption|Hydrogen electrolysis;Secondary Energy|Electricity|Storage Consumption|Hydrogen electrolysis;TWh/yr;TWh/yr;1
Secondary Energy|Electricity|Net Imports;Secondary Energy|Electricity|Net Imports;TWh/yr;TWh/yr;1
Capacity Adequacy|Most Challenging|Contribution|Nuclear;Capacity Adequacy|Most Challenging|Contribution|Nuclear;GW;GW;1
Capacity Adequacy|Most Challenging|Contribution|Hydro;Capacity Adequacy|Most Challenging|Contribution|Hydro;GW;GW;1
Capacity Adequacy|Most Challenging|Contribution|Coal;Capacity Adequacy|Most Challenging|Contribution|Coal;GW;GW;1
Capacity Adequacy|Most Challenging|Contribution|Hard Coal;Capacity Adequacy|Most Challenging|Contribution|Hard Coal;GW;GW;1
Capacity Adequacy|Most Challenging|Contribution|Lignite;Capacity Adequacy|Most Challenging|Contribution|Lignite;GW;GW;1
Capacity Adequacy|Most Challenging|Contribution|Gas;Capacity Adequacy|Most Challenging|Contribution|Gas;GW;GW;1
Capacity Adequacy|Most Challenging|Contribution|Biomass;Capacity Adequacy|Most Challenging|Contribution|Biomass;GW;GW;1
Capacity Adequacy|Most Challenging|Contribution|Storage;Capacity Adequacy|Most Challenging|Contribution|Storage;GW;GW;1
Capacity Adequacy|Most Challenging|Contribution|Oil;Capacity Adequacy|Most Challenging|Contribution|Oil;GW;GW;1
Capacity Adequacy|Most Challenging|Contribution|Waste;Capacity Adequacy|Most Challenging|Contribution|Waste;GW;GW;1
Capacity Adequacy|Most Challenging|Contribution|Hydrogen;Capacity Adequacy|Most Challenging|Contribution|Hydrogen;GW;GW;1
Capacity Adequacy|Most Challenging|Contribution|Other;Capacity Adequacy|Most Challenging|Contribution|Other;GW;GW;1
Capacity Adequacy|Most Challenging|Contribution|Solar;Capacity Adequacy|Most Challenging|Contribution|Solar;GW;GW;1
Capacity Adequacy|Most Challenging|Contribution|Wind;Capacity Adequacy|Most Challenging|Contribution|Wind;GW;GW;1
Capacity Adequacy|Most Challenging|Contribution|Imports;Capacity Adequacy|Most Challenging|Contribution|Imports;GW;GW;1
Capacity Adequacy|Most Challenging|Demand;Capacity Adequacy|Most Challenging|Demand;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Nuclear;Capacity Adequacy|Peak Demand|Contribution|Nuclear;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Hydro;Capacity Adequacy|Peak Demand|Contribution|Hydro;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Coal;Capacity Adequacy|Peak Demand|Contribution|Coal;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Hard Coal;Capacity Adequacy|Peak Demand|Contribution|Hard Coal;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Lignite;Capacity Adequacy|Peak Demand|Contribution|Lignite;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Gas;Capacity Adequacy|Peak Demand|Contribution|Gas;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Biomass;Capacity Adequacy|Peak Demand|Contribution|Biomass;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Storage;Capacity Adequacy|Peak Demand|Contribution|Storage;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Oil;Capacity Adequacy|Peak Demand|Contribution|Oil;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Waste;Capacity Adequacy|Peak Demand|Contribution|Waste;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Hydrogen;Capacity Adequacy|Peak Demand|Contribution|Hydrogen;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Other;Capacity Adequacy|Peak Demand|Contribution|Other;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Solar;Capacity Adequacy|Peak Demand|Contribution|Solar;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Wind;Capacity Adequacy|Peak Demand|Contribution|Wind;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Imports;Capacity Adequacy|Peak Demand|Contribution|Imports;GW;GW;1
Capacity Adequacy|Peak Demand|Demand;Capacity Adequacy|Peak Demand|Demand;GW;GW;1
Capacity|Electricity|Waste;Capacity|Electricity|Waste;GW;GW;1
Capacity Additions|Electricity|Waste;Capacity Additions|Electricity|Waste;GW/yr;GW/yr;1
Secondary Energy|Electricity|Waste;Secondary Energy|Electricity|Waste;TWh/yr;TWh/yr;1
Capacity Adequacy|Most Challenging|Contribution|Reserve Plants;Capacity Adequacy|Most Challenging|Contribution|Reserve Plants;GW;GW;1
Capacity Adequacy|Peak Demand|Contribution|Reserve Plants;Capacity Adequacy|Peak Demand|Contribution|Reserve Plants;GW;GW;1
Load Factor|Electricity|Nuclear;Load Factor|Electricity|Nuclear;--;--;1
Load Factor|Electricity|Coal;Load Factor|Electricity|Coal;--;--;1
